gene	product	promoter_name	promoter_pos	gene_start_pos	map_start_pos	map_end_pos
pepN	aminopeptidase N	pepNp (Experim. ev.)	990591	990622	990622	993234
ssuB	aliphatic sulfonate ABC transporter ATP binding subunit				994044	993277
ssuC	aliphatic sulfonate ABC transporter membrane subunit				994832	994041
ssuD	FMNH2-dependent alkanesulfonate monooxygenase	ssuEp (Experim. ev.)	997563	997512	995988	994843
ssuA	aliphatic sulfonate ABC transporter periplasmic binding protein	ssuEp (Experim. ev.)	997563	997512	996944	995985
ssuE	NADPH-dependent FMN reductase	ssuEp (Experim. ev.)	997563	997512	997512	996937
elfA	putative laminin-binding fimbrial subunit	elfAp6 (No high-quality experim. ev.)	997765	997868	997868	998407
elfD	putative fimbrial chaperone ElfD				998490	999191
elfC	putative fimbrial usher protein ElfC				999216	1001816
elfG	putative fimbrial-like adhesin protein				1001807	1002877
ycbU	putative fimbrial protein YcbU				1002889	1003431
ycbV	putative fimbrial protein YcbV				1003439	1003954
ycbF	putative fimbrial chaperone YcbF				1003947	1004657
pyrD	dihydroorotate dehydrogenase, type 2	pyrDp (Experim. ev.)	1004732	1004768	1004768	1005778
zapC	cell division protein ZapC	ycbWp6 (No high-quality experim. ev.)	1005850	1005952	1005952	1006494
ycbX	6-N-hydroxylaminopurine resistance protein				1007600	1006491
rlmL	fused 23S rRNA m2G2445 methyltransferase and 23S rRNA m7G2069 methyltransferase				1007844	1009952
uup	ATP-binding protein Uup	rlmLp (Experim. ev.)	1007672	1007844	1009964	1011871
pqiA	intermembrane transport protein PqiA				1012001	1013254
pqiB	intermembrane transport protein PqiB	pqiAp2 (Experim. ev.)	1011659	1012001	1013259	1014899
pqiC	intermembrane transport lipoprotein PqiC	pqiAp2 (Experim. ev.)	1011659	1012001	1014896	1015459
rmf	ribosome modulation factor	rmfp5 (No high-quality experim. ev.)	1015503	1015715	1015715	1015882
fabA	β-hydroxyacyl-acyl carrier protein dehydratase/isomerase	fabAp (No high-quality experim. ev.)	1016498	1016470	1016470	1015952
ycbZ	putative ATP-dependent protease YcbZ	ycbZp4 (No high-quality experim. ev.)	1018460	1018299	1018299	1016539
matP	macrodomain Ter protein	matPp (Experim. ev.)	1018459	1018485	1018485	1018937
ompA	outer membrane protein A	ompAp1 (Experim. ev.)	1020191	1020053	1020053	1019013
sulA	cell division inhibitor SulA	sulAp (Experim. ev.)	1020947	1020919	1020919	1020410
sxy	transcriptional coactivator for CRP	sxyp (Experim. ev.)	1021083	1021138	1021138	1021767
yccS	putative transporter YccS				1023883	1021730
yccF	PF03733 family inner membrane protein YccF	yccFp (Experim. ev.)	1024365	1024348	1024348	1023902
helD	DNA helicase IV	helDp (Experim. ev.)	1024438	1024471	1024471	1026525
mgsA	methylglyoxal synthase	mgsAp (Experim. ev.)	1027041	1027015	1027015	1026557
yccT	DUF2057 domain-containing protein YccT				1027773	1027111
yccU	putative CoA-binding protein with NAD(P)-binding Rossmann-fold domain				1027946	1028359
hspQ	heat shock protein, hemimethylated DNA-binding protein				1028721	1028404
rlmI	23S rRNA m5C1962 methyltransferase				1029969	1028779
yccX	acylphosphatase	yccXp5 (No high-quality experim. ev.)	1029980	1030064	1030064	1030342
tusE	sulfur transfer protein TusE				1030668	1030339
yccA	modulator of FtsH protease	yccAp (Experim. ev.)	1031443	1031418	1031418	1030759
serT	tRNA-Ser(UGA)	serTp (Experim. ev.)	1031719	1031712	1031712	1031625
hyaA	hydrogenase 1 small subunit	hyaAp (Experim. ev.)	1031984	1032139	1032139	1033257
hyaB	hydrogenase 1 large subunit	hyaAp (Experim. ev.)	1031984	1032139	1033254	1035047
hyaC	hydrogenase 1 cytochromebsubunit				1035066	1035773
hyaD	putative hydrogenase 1 maturation protease HyaD				1035770	1036357
hyaE	putative HyaA chaperone	hyaAp (Experim. ev.)	1031984	1032139	1036354	1036752
hyaF	protein HyaF	hyaAp (Experim. ev.)	1031984	1032139	1036749	1037606
appC	cytochromebd-II ubiquinol oxidase subunit I	appCp (No high-quality experim. ev.)	1037710	1037740	1037740	1039284
appB	cytochromebd-II ubiquinol oxidase subunit II	appCp (No high-quality experim. ev.)	1037710	1037740	1039296	1040432
appX	small protein AppX	appCp (No high-quality experim. ev.)	1037710	1037740	1040445	1040537
appA	periplasmic phosphoanhydride phosphatase/multiple inositol-polyphosphate phosphatase	appAp (Experim. ev.)	1040599	1040617	1040617	1041915
etk	protein-tyrosine kinase Etk	etkp1 (No high-quality experim. ev.)	1044303	1044210	1044210	1042030
etp	phosphotyrosine-protein phosphatase				1044676	1044230
gfcE	putative exopolysaccharide export lipoprotein GfcE				1045803	1044664
gfcD	putative lipoprotein GfcD	gfcDp3 (No high-quality experim. ev.)	1048118	1047945	1047945	1045849
gfcC	capsule biosynthesis GfcC family protein				1048691	1047945
gfcB	lipoprotein GfcB				1049332	1048688
gfcA	threonine-rich inner membrane protein GfcA	gfcAp (Experim. ev.)	1050702	1049744	1049744	1049439
insA-4	IS1 protein InsA				1049833	1050108
insB-4	IS1 protein InsB				1050027	1050530
cspH	CspA family protein CspH	cspHp13 (No high-quality experim. ev.)	1051373	1051175	1051175	1050963
cspG	cold shock protein CspG	cspGp (No high-quality experim. ev.)	1051305	1051461	1051461	1051673
ymcF	protein YmcF				1051684	1051872
ymcE	protein YmcE	ymcEp3 (No high-quality experim. ev.)	1051830	1051847	1051847	1052077
gnsA	putative phosphatidylethanolamine synthesis regulator GnsA	gnsAp2 (Experim. ev.)	1051999	1052067	1052067	1052240
yccM	putative 4Fe-4S membrane protein				1053362	1052289
torS	sensory histidine kinase TorS	torSp5 (No high-quality experim. ev.)	1056182	1056178	1056178	1053434
torT	periplasmic trimethylamine-N-oxide binding protein	torTp7 (No high-quality experim. ev.)	1056207	1056261	1056261	1057289
torR	DNA-binding transcriptional dual regulator TorR	torRp (Experim. ev.)	1057984	1057954	1057954	1057262
torC	cytochromecmenaquinol dehydrogenase TorC	torCp (Experim. ev.)	1058056	1058084	1058084	1059256
torA	trimethylamineN-oxide reductase 1	torCp (Experim. ev.)	1058056	1058084	1059256	1061802
torD	trimethylamine-N-oxide reductase-specific chaperone				1061799	1062398
cbpM	chaperone modulator CbpM				1062855	1062550
cbpA	curved DNA-binding protein	cbpAp6 (Experim. ev.)	1064037	1063775	1063775	1062855
yccE	uncharacterized protein YccE				1064036	1065292
agp	glucose-1-phosphatase	agpp (Experim. ev.)	1065559	1065585	1065585	1066826
yccJ	PF13993 family protein YccJ	wrbAp (Experim. ev.)	1067758	1067708	1067091	1066864
wrbA	NAD(P)H:quinone oxidoreductase	wrbAp (Experim. ev.)	1067758	1067708	1067708	1067112
ymdF	stress-induced bacterial acidophilic repeat motifs-containing protein YmdF				1068081	1068254
rutG	pyrimidine:H+symporter	rutGp2 (No high-quality experim. ev.)	1070045	1069839	1069839	1068511
rutF	flavin reductase				1070354	1069860
rutE	putative malonic semialdehyde reductase				1070955	1070365
rutD	putative aminoacrylate hydrolase RutD	rutAp (No high-quality experim. ev.)	1074026	1074011	1071765	1070965
rutC	putative aminoacrylate peracid reductase RutC				1072159	1071773
rutB	peroxyureidoacrylate/ureidoacrylate amidohydrolase				1072863	1072171
rutA	pyrimidine oxygenase	rutAp (No high-quality experim. ev.)	1074026	1074011	1074011	1072863
rutR	DNA-binding transcriptional dual regulator RutR	rutRp2 (Experim. ev.)	1074113	1074242	1074242	1074880
putA	fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA	putAp (Experim. ev.)	1078925	1078882	1078882	1074920
ymdG	protein YmdG				1079120	1079146
putP	proline:Na+symporter	putPp1 (Experim. ev.)	1079168	1079305	1079305	1080813
efeU	inactive ferrous iron permease EfeU				1081356	1082185
efeO	ferrous iron transport system protein EfeO	efeU_1p (Experim. ev.)	1081307	1082243	1082243	1083370
efeB	heme-containing peroxidase/deferrochelatase	efeU_1p (Experim. ev.)	1081307	1082243	1083376	1084647
phoH	ATP-binding protein PhoH	phoHp1 (Experim. ev.)	1084865	1084992	1084992	1086056
pgaD	poly-N-acetyl-D-glucosamine synthase subunit PgaD				1086519	1086106
pgaC	poly-N-acetyl-D-glucosamine synthase subunit PgaC				1087846	1086521
pgaB	poly-β-1,6-N-acetyl-D-glucosamineN-deacetylase and β-1,6 glycoside hydrolase				1089857	1087839
pgaA	partially deacetylated poly-β-1,6-N-acetyl-D-glucosamine outer membrane porin	pgaAp (Experim. ev.)	1092523	1092289	1092289	1089866
dgcT	probable diguanylate cyclase DgcT	ycdTp (Experim. ev.)	1092841	1092876	1092876	1094234
insF-4	IS3 element protein InsF				1095141	1094275
insE-4	IS3 element protein InsE				1095437	1095138
ymdE	putative uncharacterized protein YmdE				1095544	1095846
ycdU	uncharacterized protein YcdU	ycdUp9 (No high-quality experim. ev.)	1095633	1095843	1095843	1096829
serX	tRNA-Ser(GGA)	serXp (No high-quality experim. ev.)	1097676	1097652	1097652	1097565
ghrA	glyoxylate/hydroxypyruvate reductase A	ghrAp6 (No high-quality experim. ev.)	1097824	1097886	1097886	1098824
ycdX	zinc-binding phosphatase YcdX				1098879	1099616
ycdY	chaperone protein YcdY				1099640	1100194
ycdZ	inner membrane protein YcdZ	ycdZp4 (No high-quality experim. ev.)	1100252	1100296	1100296	1100787
csgG	curli secretion channel	csgGp1 (No high-quality experim. ev.)	1101755	1101684	1101684	1100851
csgF	curli assembly component				1102127	1101711
csgE	curli transport specificity factor				1102541	1102152
csgD	DNA-binding transcriptional dual regulator CsgD	csgDp1 (Experim. ev.)	1103344	1103196	1103196	1102546
csgB	curlin, minor subunit	csgBp (Experim. ev.)	1103859	1103951	1103951	1104406
csgA	curlin, major subunit	csgAp (Experim. ev.)	1104236	1104447	1104447	1104902
csgC	inhibitor of CsgA amyloid formation	csgAp (Experim. ev.)	1104236	1104447	1104961	1105293
ymdA	uncharacterized protein YmdA	ymdAp (Experim. ev.)	1105201	1105414	1105414	1105725
ymdB	2'-O-acetyl-ADP-ribose deacetylase, regulator of RNase III activity	ymdBp3 (No high-quality experim. ev.)	1105714	1105820	1105820	1106353
clsC	cardiolipin synthase C	clsCp (Experim. ev.)	1106292	1106355	1106355	1107776
opgC	protein required for succinyl modification of osmoregulated periplasmic glucans				1108941	1107784
opgG	osmoregulated periplasmic glucans (OPGs) biosynthesis protein G	opgGp2 (Experim. ev.)	1109257	1109335	1109335	1110870
opgH	osmoregulated periplasmic glucans (OPGs) biosynthesis protein H	opgGp2 (Experim. ev.)	1109257	1109335	1110863	1113406
yceK	DUF1375 domain-containing lipoprotein YceK				1113579	1113806
msyB	acidic protein that suppresses heat sensitivity of asecYmutant	msyBp (Experim. ev.)	1114213	1114181	1114181	1113807
mdtG	efflux pump MdtG				1115490	1114264
lpxL	lauroyl acyltransferase	lpxLp (Experim. ev.)	1116709	1116582	1116582	1115662
yceA->trhO	tRNA U34 hydroxylase TrhO	yceAp (Experim. ev.)	1116772	1116807	1116807	1117859
yceI	protein YceI	yceIp5 (No high-quality experim. ev.)	1118641	1118476	1118476	1117901
yceJ	putative cytochrome b561 YceJ	yceJp (Experim. ev.)	1119071	1119046	1119046	1118480
yceO	DUF2770 domain-containing protein YceO	yceOp7 (No high-quality experim. ev.)	1119632	1119447	1119447	1119307
solA	N-methyl-L-tryptophan oxidase	solAp (Experim. ev.)	1120609	1120586	1120586	1119468
bssS	regulator of biofilm formation	bssSp1 (Experim. ev.)	1121058	1120955	1120955	1120701
dinI	DNA damage-inducible protein I	dinIp (Experim. ev.)	1121509	1121487	1121487	1121242
pyrC	dihydroorotase	pyrCp (Experim. ev.)	1122643	1122607	1122607	1121561
yceB	putative lipid-binding lipoprotein YceB				1123273	1122713
grxB	reduced glutaredoxin 2	grxBp (No high-quality experim. ev.)	1124103	1124054	1124054	1123407
mdtH	multidrug efflux pump MdtH				1125326	1124118
rimJ	ribosomal-protein-S5-alanineN-acetyltransferase				1125562	1126146
yceH	DUF480 domain-containing protein YceH				1126157	1126804
yceM	putative oxidoreductase YceM				1126806	1127729
murJ	lipid II flippase MurJ				1127839	1129374
flgN	flagellar biosynthesis protein FlgN	flgNp1 (No high-quality experim. ev.)	1129914	1129830	1129830	1129414
flgM	anti-sigma factor for FliA (σ28)	flgMp (No high-quality experim. ev.)	1130165	1130128	1130128	1129835
flgA	flagellar basal body P-ring formation protein FlgA	flgAp (No high-quality experim. ev.)	1130885	1130863	1130863	1130204
flgB	flagellar basal-body rod protein FlgB	flgBp (No high-quality experim. ev.)	1130993	1131018	1131018	1131434
flgC	flagellar basal-body rod protein FlgC	flgBp (No high-quality experim. ev.)	1130993	1131018	1131438	1131842
flgD	flagellar biosynthesis, initiation of hook assembly	flgBp (No high-quality experim. ev.)	1130993	1131018	1131854	1132549
flgE	flagellar hook protein FlgE	flgBp (No high-quality experim. ev.)	1130993	1131018	1132574	1133782
flgF	flagellar basal-body rod protein FlgF				1133802	1134557
flgG	flagellar basal-body rod protein FlgG	flgBp (No high-quality experim. ev.)	1130993	1131018	1134729	1135511
flgH	flagellar L-ring protein				1135564	1136262
flgI	flagellar P-ring protein				1136274	1137371
flgJ	putative peptidoglycan hydrolase FlgJ	flgBp (No high-quality experim. ev.)	1130993	1131018	1137371	1138312
flgK	flagellar hook-filament junction protein 1	flgKp (No high-quality experim. ev.)	1138351	1138378	1138378	1140021
flgL	flagellar hook-filament junction protein 2	flgKp (No high-quality experim. ev.)	1138351	1138378	1140033	1140986
rne	ribonuclease E	rnep3 (Experim. ev.)	1144873	1144367	1144367	1141182
yceQ	DUF2655 domain-containing protein YceQ				1144502	1144822
rluC	23S rRNA pseudouridine955/2504/2580synthase				1144940	1145899
yceF	m7GTP pyrophosphatase	yceFp6 (No high-quality experim. ev.)	1146761	1146595	1146595	1146011
sraB	small RNA SraB	psrDp (Experim. ev.)	1146589	1146589	1146589	1146757
yceD	DUF177 domain-containing protein YceD	yceDp1 (Experim. ev.)	1146649	1146794	1146794	1147315
rpmF	50S ribosomal subunit protein L32	rpmFp (Experim. ev.)	1147338	1147367	1147367	1147540
plsX	putative phosphate acyltransferase	plsXp (Experim. ev.)	1147577	1147621	1147621	1148691
fabH	β-ketoacyl-[acyl carrier protein] synthase III	fabHp (Experim. ev.)	1148516	1148759	1148759	1149712
fabD	[acyl-carrier-protein]S-malonyltransferase	fabHp (Experim. ev.)	1148516	1148759	1149728	1150657
fabG	3-oxoacyl-[acyl-carrier-protein] reductase FabG	fabHp (Experim. ev.)	1148516	1148759	1150670	1151404
acpP	acyl carrier protein	acpPp (Experim. ev.)	1151575	1151615	1151615	1151851
fabF	β-ketoacyl-[acyl carrier protein] synthase II	acpPp (Experim. ev.)	1151575	1151615	1151939	1153180
pabC	aminodeoxychorismate lyase				1153300	1154109
mltG	endolytic murein transglycosylase	pabCp8 (No high-quality experim. ev.)	1153093	1153300	1154112	1155134
tmk	dTMP kinase	pabCp8 (No high-quality experim. ev.)	1153093	1153300	1155124	1155765
holB	DNA polymerase III subunit δ'	pabCp8 (No high-quality experim. ev.)	1153093	1153300	1155762	1156766
ycfH	putative metal-dependent hydrolase YcfH	pabCp8 (No high-quality experim. ev.)	1153093	1153300	1156777	1157574
ptsG	glucose-specific PTS enzyme IIBC component	ptsGp2 (Experim. ev.)	1157626	1157869	1157869	1159302
fhuE	ferric coprogen/ferric rhodotorulic acid outer membrane transporter	fhuEp (No high-quality experim. ev.)	1161647	1161551	1161551	1159362
hinT	purine nucleoside phosphoramidase	hinTp1 (No high-quality experim. ev.)	1161821	1161885	1161885	1162244
ycfL	DUF1425 domain-containing protein YcfL				1162247	1162624
lpoB	outer membrane lipoprotein - activator of MrcB activity	hinTp1 (No high-quality experim. ev.)	1161821	1161885	1162638	1163279
thiK	thiamine kinase				1163260	1164084
nagZ	β-N-acetylhexosaminidase	hinTp1 (No high-quality experim. ev.)	1161821	1161885	1164095	1165120
ycfP	UPF0227 protein YcfP	hinTp1 (No high-quality experim. ev.)	1161821	1161885	1165143	1165685
ndh	NADH:quinone oxidoreductase II	ndhp (Experim. ev.)	1165992	1166085	1166085	1167389
ycfJ	PF05433 family protein YcfJ	ycfJp3 (No high-quality experim. ev.)	1167407	1167599	1167599	1168138
comR	DNA-binding transcriptional repressor ComR				1168832	1168200
bhsA	DUF1471 domain-containing multiple stress resistance outer membrane protein BhsA	bhsAp8 (No high-quality experim. ev.)	1168981	1169073	1169073	1169330
ldtC	L,D-transpeptidase LdtC				1170374	1169412
mfd	transcription-repair coupling factor	mfdp1 (Experim. ev.)	1174028	1173964	1173964	1170518
ycfT	inner membrane protein YcfT				1175165	1174092
lolC	lipoprotein release complex - inner membrane subunit	lolCp6 (No high-quality experim. ev.)	1175374	1175427	1175427	1176626
lolD	lipoprotein release complex - ATP binding subunit	lolCp6 (No high-quality experim. ev.)	1175374	1175427	1176619	1177320
lolE	lipoprotein release complex - inner membrane subunit	lolCp6 (No high-quality experim. ev.)	1175374	1175427	1177320	1178564
nagK	N-acetyl-D-glucosamine kinase	nagKp3 (No high-quality experim. ev.)	1178540	1178593	1178593	1179504
cobB	protein-lysine deacetylase/desuccinylase	nagKp3 (No high-quality experim. ev.)	1178540	1178593	1179520	1180359
ycfZ	putative inner membrane protein				1181267	1180479
ymfA	putative inner membrane protein				1181725	1181264
potD	spermidine preferential ABC transporter periplasmic binding protein	potDp5 (No high-quality experim. ev.)	1182848	1182829	1182829	1181783
potC	spermidine preferential ABC transporter membrane subunit PotC				1183620	1182826
potB	spermidine preferential ABC transporter membrane subunit PotB				1184444	1183617
potA	spermidine preferential ABC transporter ATP binding subunit				1185594	1184458
pepT	peptidase T	pepTp (Experim. ev.)	1185823	1185844	1185844	1187070
roxA	ribosomal protein-arginine oxygenase	ycfDp5 (No high-quality experim. ev.)	1188270	1188240	1188240	1187119
phoQ	bifunctional sensor histidine kinase PhoQ				1189776	1188316
phoP	DNA-binding transcriptional dual regulator PhoP	phoPp2 (Experim. ev.)	1190508	1190447	1190447	1189776
purB	adenylosuccinate lyase				1191986	1190616
hflD	lysogenization regulator				1192631	1191990
mnmA	tRNA-specific 2-thiouridylase				1193773	1192667
nudJ	phosphatase NudJ				1194288	1193827
rluE	23S rRNA pseudouridine2457synthase				1194951	1194298
icd	isocitrate dehydrogenase	icdAp2 (Experim. ev.)	1194961	1195123	1195123	1196373
ymfD	e14 prophage; putative SAM-dependent methyltransferase				1197532	1196867
ymfE	e14 prophage; uncharacterized protein YmfE				1198237	1197533
lit	e14 prophage; cell death peptidase Lit				1198695	1199588
intE	e14 prophage; putative integrase				1200806	1199679
xisE	e14 prophage; putative excisionase				1201032	1200787
ymfH	e14 prophage; putative protein YmfH				1201380	1201069
ymfI	e14 prophage; uncharacterized protein YmfI	ymfIp1 (No high-quality experim. ev.)	1201440	1201497	1201497	1201838
ymfJ	e14 prophage; uncharacterized protein YmfJ				1202084	1201776
ymfK	e14 prophage; putative repressor protein YmfK				1202933	1202259
ymfT	e14 prophage; putative DNA-binding transcriptional regulator YmfT	croEp4 (No high-quality experim. ev.)	1202883	1203024	1203024	1203224
ymfL	e14 prophage; uncharacterized protein YmfL				1203268	1203825
ymfM	e14 prophage; uncharacterized protein YmfM	croEp4 (No high-quality experim. ev.)	1202883	1203024	1203822	1204160
ymfN	e14 prophage; chimeric replication protein/phage terminase YmfN	croEp4 (No high-quality experim. ev.)	1202883	1203024	1204170	1205537
oweE	phage replication protein				1204170	1204403
aaaE	phage terminase				1204401	1205537
ymfR	e14 prophage; IPR020297 domain-containing protein YmfR				1205549	1205731
beeE	e14 prophage; protein BeeE				1205731	1206204
jayE	e14 prophage; putative protein JayE				1206131	1206922
ymfQ	e14 prophage; DUF2313 domain-containing protein YmfQ	croEp4 (No high-quality experim. ev.)	1202883	1203024	1206913	1207497
ycfK	e14 prophage; protein StfP	croEp4 (No high-quality experim. ev.)	1202883	1203024	1207501	1208130
tfaP	e14 prophage; putative tail fiber assembly protein TfaP	croEp4 (No high-quality experim. ev.)	1202883	1203024	1208132	1208545
tfaE	e14 prophage; putative tail fiber assembly protein TfaE	tfaEp1 (No high-quality experim. ev.)	1209266	1209119	1209119	1208517
stfE	e14 prophage; putative side tail fiber protein fragment				1209655	1209119
pinE	e14 prophage; site-specific DNA recombinase	pinEp1 (No high-quality experim. ev.)	1209527	1209685	1209685	1210239
mcrA	e14 prophage; 5-methylcytosine-specific restriction enzyme McrA	mcrAp7 (No high-quality experim. ev.)	1210139	1210346	1210346	1211179
icdC	protein IcdC				1211413	1211577
iraM	anti-adaptor protein IraM, inhibitor of σSproteolysis	iraMp2 (Experim. ev.)	1212123	1212003	1212003	1211680
ymgK	protein YmgK				1212304	1212260
ymgL	protein YmgL				1212650	1212540
ycgX	DUF1398 domain-containing protein YcgX				1213107	1212703
bluR	DNA-binding transcriptional repressor BluR	bluRp (Experim. ev.)	1214113	1214059	1214059	1213328
bluF	blue light-responsive regulator of BluR				1215475	1214264
ycgZ	putative two-component system connector protein YcgZ				1215789	1216025
ymgA	putative two-component system connector protein YmgA				1216068	1216340
ariR	regulator of acid resistance, influenced by indole	ycgZp (Experim. ev.)	1215752	1215789	1216369	1216635
ymgC	protein YmgC	ycgZp (Experim. ev.)	1215752	1215789	1216748	1216996
pdeG	putative c-di-GMP phosphodiesterase PdeG				1217328	1218851
ymgF	inner membrane protein that interacts with cell division proteins	ymgFp1 (No high-quality experim. ev.)	1218814	1218983	1218983	1219201
ycgH	putative transporter component, N-terminal fragment				1219601	1222248
ymgD	PF16456 family protein YmgD				1222634	1222305
ymgG	PF13488 family protein YmgG				1222988	1222644
ymgI	uncharacterized protein YmgI				1223163	1222990
ymgJ	uncharacterized protein YmgJ				1223264	1223449
ycgI	protein YcgI				1223564	1223907
minE	Z-ring positioning protein MinE	minEp3 (No high-quality experim. ev.)	1224711	1224545	1224545	1224279
minD	Z-ring positioning protein MinD				1225361	1224549
minC	Z-ring positioning protein MinC				1226080	1225385
ycgJ	PF05666 family protein YcgJ	ycgJp5 (No high-quality experim. ev.)	1226478	1226600	1226600	1226968
pliG	inhibitor of g-type lysozyme				1227472	1227071
ycgL	PF05166 family protein YcgL				1227681	1228007
ycgM	putative isomerase/hydrolase				1228079	1228738
ycgN	PF03693 family protein YcgN	ycgNp1 (No high-quality experim. ev.)	1228683	1228815	1228815	1229276
hlyE	hemolysin E	hlyEp (Experim. ev.)	1230466	1230394	1230394	1229483
umuD	DNA polymerase V protein UmuD				1230767	1231186
umuC	DNA polymerase V catalytic protein				1231186	1232454
dsbB	protein thiol:quinone oxidoreductase DsbB				1233030	1232500
nhaB	Na+:H+antiporter NhaB	nhaBp7 (No high-quality experim. ev.)	1234767	1234717	1234717	1233176
fadR	DNA-binding transcriptional dual regulator FadR	fadRp (Experim. ev.)	1234905	1234938	1234938	1235657
ycgB	PF04293 family protein YcgB	ycgBp (Experim. ev.)	1237285	1237241	1237241	1235709
dadA	D-amino acid dehydrogenase	dadAp1 (Experim. ev.)	1237509	1237571	1237571	1238869
dadX	alanine racemase 2	dadAp1 (Experim. ev.)	1237509	1237571	1238879	1239949
ymgM	protein YmgM				1240260	1240463
cvrA	putative K+:H+antiporter	cvrAp6 (No high-quality experim. ev.)	1242164	1242071	1242071	1240335
ldcA	murein L,D-carboxypeptidase	ldcAp9 (No high-quality experim. ev.)	1243197	1243080	1243080	1242166
emtA	lytic murein transglycosylase E	emtAp4 (No high-quality experim. ev.)	1243125	1243180	1243180	1243791
ycgR	flagellar brake protein YcgR	ycgRp (No high-quality experim. ev.)	1244556	1244527	1244527	1243793
ymgE	PF04226 family protein YmgE	ymgEp7 (No high-quality experim. ev.)	1244555	1244728	1244728	1244982
ycgY	uncharacterized protein YcgY	ycgYp1 (No high-quality experim. ev.)	1245083	1245160	1245160	1245600
treA	periplasmic trehalase				1247376	1245679
dhaM	dihydroxyacetone kinase, phosphotransferase component				1249114	1247696
dhaL	dihydroxyacetone kinase subunit L				1249757	1249125
dhaK	dihydroxyacetone kinase subunit K	dhaKp (No high-quality experim. ev.)	1250944	1250838	1250838	1249768
dhaR	DNA-binding transcriptional dual regulator DhaR	dhaRp (No high-quality experim. ev.)	1251003	1251066	1251066	1252985
ycgV	putative autotransporter adhesin YcgV	ycgVp10 (No high-quality experim. ev.)	1256111	1255952	1255952	1253085
ychF	redox-responsive ATPase YchF	ychFp (Experim. ev.)	1257882	1257812	1257812	1256721
pth	peptidyl-tRNA hydrolase	pthp (Experim. ev.)	1258542	1258513	1258513	1257929
ychH	stress-induced protein	ychHp (Experim. ev.)	1258738	1258791	1258791	1259069
dauA	aerobic C4-dicarboxylate transporter DauA				1260803	1259124
prs	ribose-phosphate diphosphokinase	prsp (Experim. ev.)	1262177	1261875	1261875	1260928
ispE	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	lolBp (No high-quality experim. ev.)	1263556	1263500	1262877	1262026
lolB	outer membrane lipoprotein LolB	lolBp (No high-quality experim. ev.)	1263556	1263500	1263500	1262877
hemA	glutamyl-tRNA reductase	hemAp2 (Experim. ev.)	1263583	1263714	1263714	1264970
prfA	peptide chain release factor RF1	hemAp2 (Experim. ev.)	1263583	1263714	1265012	1266094
prmC	protein-(glutamine-N5) methyltransferase				1266094	1266927
ychQ	SirB family protein YchQ				1266924	1267316
ychA	transglutaminase-like/TPR repeat-containing protein	ychQp (Experim. ev.)	1266899	1266924	1267320	1268129
kdsA	3-deoxy-D-manno-octulosonate 8-phosphate synthase	kdsAp (Experim. ev.)	1267854	1268165	1268165	1269019
ldrA	small toxic polypeptide LdrA				1269275	1269168
rdlA	putative antisense RNA regulator of LdrA	rdlAp5 (No high-quality experim. ev.)	1269323	1269323	1269323	1269389
ldrB	small toxic polypeptide LdrB				1269810	1269703
rdlB	small regulatory antisense RNA RdlB				1269858	1269923
ldrC	small toxic polypeptide LdrC				1270345	1270238
rdlC	small regulatory antisense RNA RdlC	rdlCp3 (No high-quality experim. ev.)	1270391	1270393	1270393	1270460
chaA	Na+/K+:H+antiporter ChaA				1271849	1270749
chaB	putative cation transport regulator ChaB				1272119	1272349
chaC	glutathione-specific γ-glutamylcyclotransferase	chaCp (No high-quality experim. ev.)	1272422	1272507	1272507	1273202
ychN	DsrE/F sulfur relay family protein YchN	ychNp4 (No high-quality experim. ev.)	1273655	1273599	1273599	1273246
ychO	putative invasin YchO				1273784	1275178
narL	DNA-binding transcriptional dual regulator NarL	narXp (No high-quality experim. ev.)	1277777	1277618	1275829	1275179
narX	sensory histidine kinase NarX	narXp (No high-quality experim. ev.)	1277777	1277618	1277618	1275822
narK	nitrate:nitrite antiporter NarK	narKp2 (Experim. ev.)	1277821	1277957	1277957	1279348
narG	nitrate reductase A subunit α	narGp (Experim. ev.)	1279807	1279864	1279864	1283607
narH	nitrate reductase A subunit β	narGp (Experim. ev.)	1279807	1279864	1283604	1285142
narJ	nitrate reductase 1 molybdenum cofactor assembly chaperone	narGp (Experim. ev.)	1279807	1279864	1285139	1285849
narI	nitrate reductase A subunit γ	narGp (Experim. ev.)	1279807	1279864	1285849	1286526
ychS	putative uncharacterized protein YchS				1286709	1286984
rttR	small RNA RttR				1287236	1287066
tpr	protamine-like protein				1287176	1287087
tyrV	tRNA-Tyr(GUA)	tyrTp (Experim. ev.)	1287665	1287622	1287328	1287244
tyrT	tRNA-Tyr(GUA)	tyrTp (Experim. ev.)	1287665	1287622	1287622	1287538
purU	formyltetrahydrofolate deformylase	purUp4 (No high-quality experim. ev.)	1288756	1288624	1288624	1287782
ychJ	NTF2-like domain-containing protein YchJ	ychJp (Experim. ev.)	1289177	1289132	1289132	1288674
rssA	putative patatin-like phospholipase RssA	rssAp (Experim. ev.)	1289106	1289245	1289245	1290150
rssB	regulator of RpoS	rssBp (Experim. ev.)	1290220	1290242	1290242	1291255
